	AAB_ddlogFC	AAB_FDR	ABB_ddlogFC	ABB_FDR	is_ChrR	sig_either
C1_09150W_A	1.06800130585385	2.49024247701882e-05	0.541895486354141	0.0097879676405113	False	True
C2_07570W_A	-0.789706379059978	2.49024247701882e-05	-0.613256841711582	0.0003183326960719	False	True
C4_03600C_A	0.582963091939497	2.54795622784497e-05	0.442410425671762	0.0004078861666816	False	True
C2_05950C_B	0.738156863500508	2.62589167076288e-05	0.601796333240282	0.000236177367199	False	True
C5_02530W_A	0.72289719674544	2.80399442881661e-05	0.599070019725364	0.000206342585975	False	True
C4_05110C_A	0.821045083592493	2.80399442881661e-05	0.36092999463896	0.0248427766343948	False	True
C1_02170C_B	0.76058367164391	2.83053965571512e-05	0.920216394857897	3.41236065590708e-06	False	True
C5_03330C_A	0.567269508741187	2.86700104767974e-05	0.635780953934292	8.39419023523795e-06	False	True
C7_02270W_B	1.20147482430418	2.91474032287239e-05	1.16350443714136	3.70961628405242e-05	False	True
CR_08690C_A	0.474597578199289	2.95129970630516e-05	0.405577257835779	0.0001538182183035	True	True
C1_02370C_A	-0.886642819348499	3.18222358720177e-05	-1.10243223130953	3.71119032896389e-06	False	True
CR_10140W_A	0.583743740795521	3.20057655465487e-05	0.500271567890987	0.000163647883285	True	True
C1_07360W_A	-0.65185744648147	3.29506467060272e-05	-0.498636855983164	0.0005339168629791	False	True
C1_10060C_B	-0.990451498527321	3.29681905472871e-05	-1.07668080827225	1.33158220942555e-05	False	True
C2_00340C_B	0.717294689203483	3.31071496298822e-05	0.702810593851998	3.92849616503301e-05	False	True
C3_07280C_A	0.546742101607049	3.35342899338874e-05	0.793642186057837	4.31672495597402e-07	False	True
C3_02630C_A	-0.486134091939109	3.38302711288339e-05	-0.445836043108373	8.14233554717614e-05	False	True
C1_03320C_A	0.544981035274348	3.39413609879628e-05	0.326736971811193	0.004182945571803	False	True
C5_01680C_B	-0.909791277450554	3.39413609879628e-05	-1.20634404754703	1.90391944263216e-06	False	True
C1_02170C_A	0.773593042229359	3.39413609879628e-05	0.915908834651195	5.0246431386776e-06	False	True
C1_11510C_A	0.759005358473812	3.39413609879628e-05	0.57396751050274	0.000631734412472	False	True
C1_10050W_B	-1.15736621878087	3.39413609879628e-05	-1.26577993617845	1.57972816383047e-05	False	True
C4_06760W_B	0.571352466552526	3.5124931255049e-05	0.61457842736369	1.42004799826001e-05	False	True
